Plant_ID,Image_Path,Timestamp,Plant_Type,Soil_Moisture,Temperature,Humidity,Light_Intensity,Health_Status,Stress_Level,Disease_Class
PLANT_001,dataset/plantvillage_raw/Apple___Cedar_apple_rust/bd0ead39-9628-46b3-9feb-c3496af0ae8b___FREC_C.Rust 0015.JPG,2024-01-13,Apple,43.98,30.46,64.39,16925.43,Watch,Low,Apple___Cedar_apple_rust
PLANT_001,dataset/plantvillage_raw/Apple___Cedar_apple_rust/4fd1cebf-96dd-4786-b1df-021dac153ca7___FREC_C.Rust 9953.JPG,2024-01-14,Apple,48.45,23.84,59.56,15772.35,Watch,Low,Apple___Cedar_apple_rust
PLANT_001,dataset/plantvillage_raw/Apple___Cedar_apple_rust/fcfc7057-7de6-466b-9f7e-9b767deaf266___FREC_C.Rust 3807.JPG,2024-01-15,Apple,53.95,28.16,67.36,14644.92,Watch,Low,Apple___Cedar_apple_rust
PLANT_001,dataset/plantvillage_raw/Apple___Cedar_apple_rust/a0277f94-ece7-4f93-8b26-adea371f0a32___FREC_C.Rust 9917.JPG,2024-01-16,Apple,57.67,27.17,50.31,16637.54,Watch,Low,Apple___Cedar_apple_rust
PLANT_001,dataset/plantvillage_raw/Apple___Apple_scab/cc62ab3a-f945-4aa3-add4-03887b49007a___FREC_Scab 2960.JPG,2024-01-17,Apple,42.45,26.63,58.5,18563.41,Stressed,Medium,Apple___Apple_scab
PLANT_001,dataset/plantvillage_raw/Apple___Apple_scab/4512edee-9d3b-451e-845d-86666feebe99___FREC_Scab 3328.JPG,2024-01-18,Apple,39.92,29.85,63.83,15827.64,Stressed,Medium,Apple___Apple_scab
PLANT_001,dataset/plantvillage_raw/Apple___Apple_scab/c745cec0-6c89-4bee-b0c2-a71a925b7f1b___FREC_Scab 3227.JPG,2024-01-19,Apple,53.42,29.56,59.83,14654.12,Stressed,Medium,Apple___Apple_scab
PLANT_001,dataset/plantvillage_raw/Apple___Apple_scab/6823f5d3-b27b-4a34-a417-5fc5bd99f9d7___FREC_Scab 2975.JPG,2024-01-20,Apple,50.73,25.64,57.95,18064.44,Stressed,Medium,Apple___Apple_scab
PLANT_001,dataset/plantvillage_raw/Apple___Apple_scab/3c27bbd7-b305-4ab0-8a85-5061363cf632___FREC_Scab 3183.JPG,2024-01-21,Apple,35.49,24.91,56.11,18898.54,Stressed,Medium,Apple___Apple_scab
PLANT_001,dataset/plantvillage_raw/Apple___Apple_scab/de341ebf-f335-4120-be2e-2640de5bde93___FREC_Scab 3375.JPG,2024-01-22,Apple,42.25,25.94,51.84,15232.61,Stressed,Medium,Apple___Apple_scab
PLANT_001,dataset/plantvillage_raw/Apple___Black_rot/baf805d8-6809-4883-99ff-2fd59dd8be5f___JR_FrgE.S 2886.JPG,2024-01-23,Apple,33.87,30.51,44.03,19263.87,Critical,High,Apple___Black_rot
PLANT_001,dataset/plantvillage_raw/Apple___Black_rot/f9c0a3a9-a08e-4b1d-baab-93fdc7fb2690___JR_FrgE.S 2896.JPG,2024-01-24,Apple,29.39,32.87,41.31,17388.96,Critical,High,Apple___Black_rot
PLANT_001,dataset/plantvillage_raw/Apple___Black_rot/1e2149c8-f9ed-49b2-a8c2-2e8b2046d0f7___JR_FrgE.S 2965.JPG,2024-01-25,Apple,24.57,31.83,37.18,18739.24,Critical,High,Apple___Black_rot
PLANT_001,dataset/plantvillage_raw/Apple___Black_rot/6923c419-55d4-4f33-91aa-9ecfb860d72d___JR_FrgE.S 8763.JPG,2024-01-26,Apple,31.15,27.92,44.91,19382.59,Critical,High,Apple___Black_rot
PLANT_001,dataset/plantvillage_raw/Apple___Black_rot/ad42c269-aca2-4b1b-9e3d-59108ccb79a3___JR_FrgE.S 8622.JPG,2024-01-27,Apple,20.3,32.76,36.67,13140.76,Critical,High,Apple___Black_rot
PLANT_001,dataset/plantvillage_raw/Apple___Black_rot/91270769-9fc1-4544-bb8e-b48450b7ad62___JR_FrgE.S 2953.JPG,2024-01-28,Apple,29.83,30.95,46.45,20930.1,Critical,High,Apple___Black_rot
PLANT_001,dataset/plantvillage_raw/Apple___Black_rot/75e9b8ed-e579-469c-96ec-d964fc7d4d90___JR_FrgE.S 8581.JPG,2024-01-29,Apple,18.1,33.09,52.89,20240.31,Critical,High,Apple___Black_rot
PLANT_001,dataset/plantvillage_raw/Apple___Black_rot/16b7455f-bd2e-4ea8-965d-32a072c7beb9___JR_FrgE.S 2824.JPG,2024-01-30,Apple,25.04,29.66,46.42,18586.04,Critical,High,Apple___Black_rot
PLANT_002,dataset/plantvillage_raw/Cherry_(including_sour)___healthy/988cce2b-7897-489d-b796-9a170e815785___JR_HL 9550.JPG,2024-01-04,Cherry_(including_sour),63.91,25.48,70.64,14992.14,Healthy,Healthy,Cherry_(including_sour)___healthy
PLANT_002,dataset/plantvillage_raw/Cherry_(including_sour)___healthy/ee929bdd-22bd-4a39-be24-11aa93d586fa___JR_HL 9576.JPG,2024-01-05,Cherry_(including_sour),63.72,22.8,64.87,12359.32,Healthy,Healthy,Cherry_(including_sour)___healthy
PLANT_002,dataset/plantvillage_raw/Cherry_(including_sour)___healthy/2e77ebef-fbc9-41a8-9911-ddb3b9c99c4b___JR_HL 4115.JPG,2024-01-06,Cherry_(including_sour),64.03,24.98,73.09,15320.53,Healthy,Healthy,Cherry_(including_sour)___healthy
PLANT_002,dataset/plantvillage_raw/Cherry_(including_sour)___healthy/135f64b7-91ed-40b5-a27b-9a8a602001ec___JR_HL 9878 copy.JPG,2024-01-07,Cherry_(including_sour),67.33,24.53,71.31,13664.08,Healthy,Healthy,Cherry_(including_sour)___healthy
PLANT_002,dataset/plantvillage_raw/Cherry_(including_sour)___healthy/366da366-4749-4815-b834-059c52d39160___JR_HL 9883.JPG,2024-01-08,Cherry_(including_sour),64.36,24.23,69.63,13413.4,Healthy,Healthy,Cherry_(including_sour)___healthy
PLANT_002,dataset/plantvillage_raw/Cherry_(including_sour)___healthy/b6014a59-9818-4222-9a74-51cbbbcda57a___JR_HL 4020.JPG,2024-01-09,Cherry_(including_sour),58.39,22.83,62.37,15400.77,Healthy,Healthy,Cherry_(including_sour)___healthy
PLANT_002,dataset/plantvillage_raw/Cherry_(including_sour)___healthy/3c96ff43-4d86-4bfd-a450-b4a4ad398c2d___JR_HL 9862.JPG,2024-01-10,Cherry_(including_sour),61.32,22.86,66.79,15237.96,Healthy,Healthy,Cherry_(including_sour)___healthy
PLANT_002,dataset/plantvillage_raw/Cherry_(including_sour)___healthy/5ebfa4f5-0bcb-4055-a44b-612cbbfdeb96___JR_HL 3987.JPG,2024-01-11,Cherry_(including_sour),71.46,22.48,72.56,14614.11,Healthy,Healthy,Cherry_(including_sour)___healthy
PLANT_002,dataset/plantvillage_raw/Cherry_(including_sour)___healthy/16952b2d-daf9-47c6-b15e-c2c465bd5cf0___JR_HL 9882.JPG,2024-01-12,Cherry_(including_sour),58.38,23.58,69.5,15459.2,Healthy,Healthy,Cherry_(including_sour)___healthy
PLANT_002,dataset/plantvillage_raw/Cherry_(including_sour)___healthy/7369138a-5f0e-42b9-a244-67bf24f416de___JR_HL 4290.JPG,2024-01-13,Cherry_(including_sour),62.06,25.57,63.73,14181.25,Healthy,Healthy,Cherry_(including_sour)___healthy
PLANT_002,dataset/plantvillage_raw/Cherry_(including_sour)___healthy/d1783f85-5cb9-4683-b493-4e9112749f23___JR_HL 9507.JPG,2024-01-14,Cherry_(including_sour),64.38,22.85,62.1,11667.74,Healthy,Healthy,Cherry_(including_sour)___healthy
PLANT_002,dataset/plantvillage_raw/Cherry_(including_sour)___healthy/1f37c6f5-f412-4367-b88c-af380713ca97___JR_HL 9714.JPG,2024-01-15,Cherry_(including_sour),62.89,23.13,66.45,15443.79,Healthy,Healthy,Cherry_(including_sour)___healthy
PLANT_002,dataset/plantvillage_raw/Cherry_(including_sour)___Powdery_mildew/fd12fe2b-b86f-4a8b-a4f0-edffeabb7536___FREC_Pwd.M 0345.JPG,2024-01-16,Cherry_(including_sour),31.17,29.31,54.25,16347.92,Stressed,Medium,Cherry_(including_sour)___Powdery_mildew
PLANT_002,dataset/plantvillage_raw/Cherry_(including_sour)___Powdery_mildew/15679d43-c95a-4ca4-9189-e08d6b5afbfa___FREC_Pwd.M 0309.JPG,2024-01-17,Cherry_(including_sour),50.58,29.08,50.46,15935.4,Stressed,Medium,Cherry_(including_sour)___Powdery_mildew
PLANT_002,dataset/plantvillage_raw/Cherry_(including_sour)___Powdery_mildew/04e83ad6-5456-4b00-a293-5537b708950c___FREC_Pwd.M 4928.JPG,2024-01-18,Cherry_(including_sour),51.19,32.11,51.97,16046.72,Stressed,Medium,Cherry_(including_sour)___Powdery_mildew
PLANT_002,dataset/plantvillage_raw/Cherry_(including_sour)___Powdery_mildew/4a681bd1-f177-4079-a67c-890eaa1fb016___FREC_Pwd.M 5097.JPG,2024-01-19,Cherry_(including_sour),40.68,29.25,45.33,20146.18,Stressed,Medium,Cherry_(including_sour)___Powdery_mildew
PLANT_002,dataset/plantvillage_raw/Cherry_(including_sour)___Powdery_mildew/b748047a-d6ed-49b4-8fa3-16fea0a76115___FREC_Pwd.M 0395.JPG,2024-01-20,Cherry_(including_sour),42.94,30.47,59.95,18885.67,Stressed,Medium,Cherry_(including_sour)___Powdery_mildew
PLANT_002,dataset/plantvillage_raw/Cherry_(including_sour)___Powdery_mildew/4cc877f9-6253-4b54-886c-c5cc5fd5e62c___FREC_Pwd.M 4717.JPG,2024-01-21,Cherry_(including_sour),45.28,28.34,57.69,19753.07,Stressed,Medium,Cherry_(including_sour)___Powdery_mildew
PLANT_002,dataset/plantvillage_raw/Cherry_(including_sour)___Powdery_mildew/0b1da03f-3c6e-4977-96b7-6460433168b8___FREC_Pwd.M 5137.JPG,2024-01-22,Cherry_(including_sour),46.88,33.11,54.04,15184.1,Stressed,Medium,Cherry_(including_sour)___Powdery_mildew
PLANT_002,dataset/plantvillage_raw/Cherry_(including_sour)___Powdery_mildew/86b39099-53d7-42dc-b69c-1e2e8814a535___FREC_Pwd.M 4814.JPG,2024-01-23,Cherry_(including_sour),46.2,31.62,51.96,17340.37,Stressed,Medium,Cherry_(including_sour)___Powdery_mildew
PLANT_002,dataset/plantvillage_raw/Cherry_(including_sour)___Powdery_mildew/e93cfbbd-e8ca-46a9-b709-00d28fce4c51___FREC_Pwd.M 0468.JPG,2024-01-24,Cherry_(including_sour),36.57,32.0,55.45,16075.38,Stressed,Medium,Cherry_(including_sour)___Powdery_mildew
PLANT_002,dataset/plantvillage_raw/Cherry_(including_sour)___Powdery_mildew/a90c7766-8136-4a31-b5b3-c20ef2927196___FREC_Pwd.M 4977.JPG,2024-01-25,Cherry_(including_sour),41.66,29.75,53.68,15343.76,Stressed,Medium,Cherry_(including_sour)___Powdery_mildew
PLANT_002,dataset/plantvillage_raw/Cherry_(including_sour)___Powdery_mildew/0ceb54ca-c9c1-48fb-9b8c-eb8afaefc378___FREC_Pwd.M 4698.JPG,2024-01-26,Cherry_(including_sour),51.93,32.52,58.56,21156.39,Stressed,Medium,Cherry_(including_sour)___Powdery_mildew
PLANT_003,dataset/plantvillage_raw/Corn_(maize)___healthy/993fce59-927c-405d-9761-784d15d8c799___R.S_HL 8064 copy 2.jpg,2024-01-07,Corn_(maize),62.53,22.71,63.24,13462.97,Healthy,Healthy,Corn_(maize)___healthy
PLANT_003,dataset/plantvillage_raw/Corn_(maize)___healthy/6be24373-115c-42d4-9e57-35a7b208a021___R.S_HL 0614 copy.jpg,2024-01-08,Corn_(maize),67.12,24.44,59.81,14183.23,Healthy,Healthy,Corn_(maize)___healthy
PLANT_003,dataset/plantvillage_raw/Corn_(maize)___healthy/a0737ce0-3cdb-4773-95eb-377efa68bc06___R.S_HL 8174 copy.jpg,2024-01-09,Corn_(maize),54.14,25.53,71.91,13566.04,Healthy,Healthy,Corn_(maize)___healthy
PLANT_003,dataset/plantvillage_raw/Corn_(maize)___healthy/83bd7012-4dff-4fe3-862d-c4e59ce02216___R.S_HL 8062 copy 3.jpg,2024-01-10,Corn_(maize),57.07,23.9,64.15,16420.86,Healthy,Healthy,Corn_(maize)___healthy
PLANT_003,dataset/plantvillage_raw/Corn_(maize)___healthy/b6502343-1e16-4343-81cc-ec9fc1a212d1___R.S_HL 8238 copy.jpg,2024-01-11,Corn_(maize),61.01,22.74,66.97,13634.33,Healthy,Healthy,Corn_(maize)___healthy
PLANT_003,dataset/plantvillage_raw/Corn_(maize)___healthy/f741de14-0e76-4922-8c59-3281d55f019a___R.S_HL 5491 copy 2.jpg,2024-01-12,Corn_(maize),64.71,22.9,68.74,16881.0,Healthy,Healthy,Corn_(maize)___healthy
PLANT_003,dataset/plantvillage_raw/Corn_(maize)___Common_rust_/RS_Rust 2530.JPG,2024-01-13,Corn_(maize),47.69,26.91,53.02,15300.56,Watch,Low,Corn_(maize)___Common_rust_
PLANT_003,dataset/plantvillage_raw/Corn_(maize)___Common_rust_/RS_Rust 1737.JPG,2024-01-14,Corn_(maize),52.6,28.45,59.54,15017.41,Watch,Low,Corn_(maize)___Common_rust_
PLANT_003,dataset/plantvillage_raw/Corn_(maize)___Common_rust_/RS_Rust 2206.JPG,2024-01-15,Corn_(maize),54.48,27.12,64.33,15683.3,Watch,Low,Corn_(maize)___Common_rust_
PLANT_003,dataset/plantvillage_raw/Corn_(maize)___Common_rust_/RS_Rust 2510.JPG,2024-01-16,Corn_(maize),48.55,27.23,63.38,17821.3,Watch,Low,Corn_(maize)___Common_rust_
PLANT_003,dataset/plantvillage_raw/Corn_(maize)___Common_rust_/RS_Rust 1870.JPG,2024-01-17,Corn_(maize),53.74,25.85,61.05,12756.74,Watch,Low,Corn_(maize)___Common_rust_
PLANT_003,dataset/plantvillage_raw/Corn_(maize)___Common_rust_/RS_Rust 2018.JPG,2024-01-18,Corn_(maize),59.09,29.82,59.56,15442.17,Watch,Low,Corn_(maize)___Common_rust_
PLANT_003,dataset/plantvillage_raw/Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot/e90fe656-399f-4863-8014-03dc30e84f8c___RS_GLSp 4326 copy.jpg,2024-01-19,Corn_(maize),45.74,30.66,46.72,16552.37,Stressed,Medium,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
PLANT_003,dataset/plantvillage_raw/Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot/d7a856cb-b30e-4c26-9814-ce6ca9a9f188___RS_GLSp 4676.JPG,2024-01-20,Corn_(maize),45.05,26.8,59.59,15212.41,Stressed,Medium,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
PLANT_003,dataset/plantvillage_raw/Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot/89d03cba-77b6-4197-9993-434138cf6eba___RS_GLSp 7303.JPG,2024-01-21,Corn_(maize),44.16,27.64,54.0,14958.82,Stressed,Medium,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
PLANT_003,dataset/plantvillage_raw/Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot/295e2145-800f-4c3c-9728-e45b1cd8e113___RS_GLSp 4316.JPG,2024-01-22,Corn_(maize),41.17,27.58,47.57,20265.43,Stressed,Medium,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
PLANT_003,dataset/plantvillage_raw/Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot/81c07a92-6542-413a-9395-eb6904635197___RS_GLSp 9290.JPG,2024-01-23,Corn_(maize),39.86,29.77,54.16,18815.94,Stressed,Medium,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
PLANT_003,dataset/plantvillage_raw/Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot/d39aadb4-c3f8-45a0-a92c-913263278c29___RS_GLSp 4654.JPG,2024-01-24,Corn_(maize),50.74,30.44,46.41,18974.31,Stressed,Medium,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
PLANT_003,dataset/plantvillage_raw/Corn_(maize)___Northern_Leaf_Blight/e472dfcf-e2c6-4e5b-9d93-b31921cb5f07___RS_NLB 3974.JPG,2024-01-25,Corn_(maize),34.27,29.95,30.98,19223.95,Critical,High,Corn_(maize)___Northern_Leaf_Blight
PLANT_003,dataset/plantvillage_raw/Corn_(maize)___Northern_Leaf_Blight/e379b939-5325-400c-97ea-393159297fc0___RS_NLB 4184.JPG,2024-01-26,Corn_(maize),37.12,29.25,35.3,17686.41,Critical,High,Corn_(maize)___Northern_Leaf_Blight
PLANT_003,dataset/plantvillage_raw/Corn_(maize)___Northern_Leaf_Blight/824f1625-2e71-4df7-ab63-e0093d9a46a0___RS_NLB 3850.JPG,2024-01-27,Corn_(maize),30.12,34.42,48.9,18844.74,Critical,High,Corn_(maize)___Northern_Leaf_Blight
PLANT_003,dataset/plantvillage_raw/Corn_(maize)___Northern_Leaf_Blight/c452d1b2-28c7-49ae-a358-2d1ed64db113___RS_NLB 3977.JPG,2024-01-28,Corn_(maize),32.14,34.22,49.34,20605.96,Critical,High,Corn_(maize)___Northern_Leaf_Blight
PLANT_003,dataset/plantvillage_raw/Corn_(maize)___Northern_Leaf_Blight/9fec4d0d-462f-4b8f-8731-be6961908639___RS_NLB 3612.JPG,2024-01-29,Corn_(maize),27.81,31.79,42.15,17613.78,Critical,High,Corn_(maize)___Northern_Leaf_Blight
PLANT_003,dataset/plantvillage_raw/Corn_(maize)___Northern_Leaf_Blight/4454fe11-5b0f-48b2-9c16-090100c6332e___RS_NLB 4037.JPG,2024-01-30,Corn_(maize),26.25,33.09,39.68,21647.91,Critical,High,Corn_(maize)___Northern_Leaf_Blight
PLANT_004,dataset/plantvillage_raw/Grape___healthy/4dd8290b-03c6-4c67-972a-357c3de6e7cc___Mt.N.V_HL 6036.JPG,2024-01-10,Grape,65.29,22.54,66.99,14042.09,Healthy,Healthy,Grape___healthy
PLANT_004,dataset/plantvillage_raw/Grape___healthy/c4d28bb3-4dd7-4292-9d45-4f47903e9c26___Mt.N.V_HL 8931.JPG,2024-01-11,Grape,72.13,25.57,67.97,14587.97,Healthy,Healthy,Grape___healthy
PLANT_004,dataset/plantvillage_raw/Grape___healthy/bed370e7-2f48-4102-81a0-4e960d47d8c9___Mt.N.V_HL 8936.JPG,2024-01-12,Grape,64.2,24.64,64.5,12922.26,Healthy,Healthy,Grape___healthy
PLANT_004,dataset/plantvillage_raw/Grape___healthy/f02b5708-2cf8-4cee-9a45-10cbf493b2d5___Mt.N.V_HL 9023.JPG,2024-01-13,Grape,59.29,25.5,73.2,13996.55,Healthy,Healthy,Grape___healthy
PLANT_004,dataset/plantvillage_raw/Grape___healthy/5d03624b-61fe-4764-944e-c2a347e99889___Mt.N.V_HL 6192.JPG,2024-01-14,Grape,63.71,24.21,64.72,16448.2,Healthy,Healthy,Grape___healthy
PLANT_004,dataset/plantvillage_raw/Grape___healthy/da73a76d-506a-4a34-bedd-e79998f3949c___Mt.N.V_HL 8958.JPG,2024-01-15,Grape,64.71,25.9,68.45,13586.7,Healthy,Healthy,Grape___healthy
PLANT_004,dataset/plantvillage_raw/Grape___healthy/cf290224-e5ca-4d0b-8037-c147acfc290d___Mt.N.V_HL 6049.JPG,2024-01-16,Grape,61.36,23.55,73.95,14252.14,Healthy,Healthy,Grape___healthy
PLANT_004,dataset/plantvillage_raw/Grape___healthy/c9bc0233-38a5-4104-ae08-fec0501b28f6___Mt.N.V_HL 6068.JPG,2024-01-17,Grape,59.74,25.29,62.78,16789.43,Healthy,Healthy,Grape___healthy
PLANT_004,dataset/plantvillage_raw/Grape___healthy/85c128f1-a36e-4345-835d-1668fe2d7467___Mt.N.V_HL 9018.JPG,2024-01-18,Grape,68.51,23.48,69.98,12568.34,Healthy,Healthy,Grape___healthy
PLANT_004,dataset/plantvillage_raw/Grape___healthy/bd88082c-b059-4087-88f4-b6ba9cbf07aa___Mt.N.V_HL 6124.JPG,2024-01-19,Grape,64.78,22.26,62.74,14654.98,Healthy,Healthy,Grape___healthy
PLANT_004,dataset/plantvillage_raw/Grape___healthy/605f6929-3bb5-419c-8bee-eccc39128245___Mt.N.V_HL 9059.JPG,2024-01-20,Grape,67.5,21.73,74.07,15998.2,Healthy,Healthy,Grape___healthy
PLANT_004,dataset/plantvillage_raw/Grape___healthy/aca0406e-c5ec-421e-a265-3d88d13b3bef___Mt.N.V_HL 6182.JPG,2024-01-21,Grape,60.0,23.06,74.68,14989.92,Healthy,Healthy,Grape___healthy
PLANT_004,dataset/plantvillage_raw/Grape___healthy/6b11a8e2-a729-4f80-9836-e90402c0b47f___Mt.N.V_HL 6062.JPG,2024-01-22,Grape,64.08,22.69,71.54,13013.6,Healthy,Healthy,Grape___healthy
PLANT_004,dataset/plantvillage_raw/Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/f99fb4b7-78bc-4c3a-a76b-4b25dec56864___FAM_L.Blight 3647.JPG,2024-01-23,Grape,44.0,28.73,51.92,14952.22,Stressed,Medium,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
PLANT_004,dataset/plantvillage_raw/Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/ef1eaf4e-50fa-48d2-8ff9-3f3953043409___FAM_L.Blight 1383.JPG,2024-01-24,Grape,41.12,29.12,51.6,18762.12,Stressed,Medium,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
PLANT_004,dataset/plantvillage_raw/Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/e8d45d85-2665-4276-8fa9-5ee550e9650d___FAM_L.Blight 4555.JPG,2024-01-25,Grape,37.67,28.39,59.32,16951.83,Stressed,Medium,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
PLANT_004,dataset/plantvillage_raw/Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/82cb565e-0c7d-4aae-a5bf-f9e75889d5d4___FAM_L.Blight 3639.JPG,2024-01-26,Grape,40.74,30.36,52.22,15458.02,Stressed,Medium,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
PLANT_004,dataset/plantvillage_raw/Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/5e7f9bb4-3617-4506-8176-dd3bd3a866bf___FAM_L.Blight 1658.JPG,2024-01-27,Grape,43.21,31.25,50.82,12129.76,Stressed,Medium,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
PLANT_004,dataset/plantvillage_raw/Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/338dd61a-290b-43e4-9f7d-022bd918aa58___FAM_L.Blight 4949.JPG,2024-01-28,Grape,44.08,27.54,50.28,18171.31,Stressed,Medium,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
PLANT_004,dataset/plantvillage_raw/Grape___Black_rot/7dc3c7a2-d088-410c-91d5-cb1de4698cc7___FAM_B.Rot 0331.JPG,2024-01-29,Grape,30.77,32.22,40.54,23367.77,Critical,High,Grape___Black_rot
PLANT_004,dataset/plantvillage_raw/Grape___Esca_(Black_Measles)/2678c709-f9f4-489d-8f8a-13ed2a6ee355___FAM_B.Msls 4322.JPG,2024-01-30,Grape,34.01,29.84,38.18,18932.47,Critical,High,Grape___Esca_(Black_Measles)
PLANT_004,dataset/plantvillage_raw/Grape___Black_rot/73e582d5-9e4d-4208-a206-c85050968f6f___FAM_B.Rot 5083.JPG,2024-01-31,Grape,34.84,31.05,46.44,16589.38,Critical,High,Grape___Black_rot
PLANT_004,dataset/plantvillage_raw/Grape___Black_rot/45b6a769-0ac8-449e-8470-ff55515a34a7___FAM_B.Rot 3047.JPG,2024-02-01,Grape,33.19,34.38,38.17,24828.33,Critical,High,Grape___Black_rot
PLANT_004,dataset/plantvillage_raw/Grape___Esca_(Black_Measles)/e72181bf-4291-4de7-90bc-4ae94e716a04___FAM_B.Msls 4143.JPG,2024-02-02,Grape,22.72,30.19,44.86,16472.05,Critical,High,Grape___Esca_(Black_Measles)
PLANT_004,dataset/plantvillage_raw/Grape___Esca_(Black_Measles)/df33332e-be7b-4217-b6d3-bc986ece79c9___FAM_B.Msls 4441.JPG,2024-02-03,Grape,33.69,31.88,38.53,16514.73,Critical,High,Grape___Esca_(Black_Measles)
PLANT_004,dataset/plantvillage_raw/Grape___Black_rot/613cac81-8048-40f7-892f-bb2e496cd7ea___FAM_B.Rot 0620.JPG,2024-02-04,Grape,28.79,32.94,44.44,21155.8,Critical,High,Grape___Black_rot
PLANT_005,dataset/plantvillage_raw/Peach___healthy/f8e8605d-f1f6-41d4-bc60-a0e1bbf34e0f___Rutg._HL 3697.JPG,2024-01-13,Peach,60.24,23.31,67.73,16678.68,Healthy,Healthy,Peach___healthy
PLANT_005,dataset/plantvillage_raw/Peach___healthy/13cd3713-b0ae-4a7f-a0f6-b3a6cc2fd932___Rutg._HL 2477.JPG,2024-01-14,Peach,59.52,20.86,68.32,12594.15,Healthy,Healthy,Peach___healthy
